siRNA,RF_Classifier_prob
S1,0.65
S2,0.7
S3,0.65
S4,0.65
S5,0.65
S6,0.75
S7,0.6
S8,0.7
S9,0.65
S10,0.6
S11,0.65
S12,0.6
S13,0.6
S14,0.7
S15,0.7
S16,0.55
S17,0.55
S18,0.65
S19,0.7
S20,0.75
S21,0.7
S22,0.8
S23,0.65
S24,0.6
S25,0.7
S26,0.6
S27,0.45
S28,0.75
S29,0.55
S30,0.45
S31,0.55
S32,0.8
S33,0.65
S34,0.6
S35,0.55
S36,0.65
S37,0.65
S38,0.6
S39,0.45
S40,0.45
S41,0.7
S42,0.65
S43,0.65
S44,0.6
S45,0.6
S46,0.55
S47,0.6
S48,0.65
S49,0.65
S50,0.75
S51,0.65
S52,0.6
S53,0.55
S54,0.55
S55,0.6
S56,0.65
S57,0.6
S58,0.65
S59,0.65
S60,0.7
S61,0.65
S62,0.65
S63,0.55
S64,0.75
S65,0.7
S66,0.6
S67,0.7
S68,0.65
S69,0.7
S70,0.7
S71,0.65
S72,0.65
S73,0.45
S74,0.55
S75,0.65
S76,0.65
S77,0.75
S78,0.75
S79,0.55
S80,0.55
S81,0.7
S82,0.6
S83,0.45
S84,0.7
S85,0.7
S86,0.65
S87,0.7
S88,0.7
S89,0.65
S90,0.7
S91,0.55
S92,0.55
S93,0.55
S94,0.55
S95,0.7
S96,0.7
S97,0.7
S98,0.7
S99,0.65
S100,0.65
S101,0.65
S102,0.75
S104,0.8
S105,0.7
S106,0.6
S107,0.75
S108,0.65
S110,0.7
S111,0.7
S112,0.4
S113,0.45
S114,0.65
S115,0.6
S116,0.65
S117,0.5
S118,0.65
S119,0.65
S120,0.8
S121,0.6
S122,0.55
S123,0.4
S124,0.75
S125,0.65
S126,0.7
S127,0.65
S128,0.65
S129,0.45
S130,0.55
S131,0.7
S132,0.7
S134,0.65
S135,0.6
S136,0.5
S137,0.7
S138,0.6
S139,0.65
S140,0.75
S141,0.6
S142,0.75
S143,0.55
S144,0.6
S145,0.65
S146,0.65
S147,0.4
S148,0.45
S149,0.45
S150,0.5
S151,0.6
S152,0.75
S153,0.7
S154,0.6
S155,0.75
S156,0.45
S157,0.55
S158,0.5
S159,0.75
S160,0.7
S161,0.8
S162,0.65
S163,0.45
S164,0.7
S165,0.6
S166,0.55
S167,0.65
S168,0.55
S169,0.85
S171,0.7
S172,0.6
S173,0.7
S174,0.65
S175,0.55
S176,0.7
S177,0.75
S178,0.65
S179,0.7
S180,0.55
S181,0.65
S182,0.7
S183,0.7
S184,0.55
S185,0.7
S186,0.65
S187,0.75
S188,0.5
S189,0.6
S190,0.65
S191,0.5
S192,0.6
S193,0.6
S194,0.7
S195,0.6
S196,0.6
S197,0.75
S198,0.55
S199,0.6
S200,0.7
S201,0.5
S202,0.45
S203,0.7
S204,0.65
S205,0.65
S206,0.8
S207,0.5
S208,0.75
S209,0.85
S210,0.6
S211,0.7
S212,0.75
S213,0.5
S214,0.75
S215,0.6
S216,0.65
S218,0.6
S219,0.6
S220,0.6
S221,0.6
S222,0.5
S223,0.7
S224,0.6
S225,0.7
S226,0.6
S227,0.65
S228,0.65
S229,0.6
S230,0.5
S231,0.7
S232,0.65
S233,0.6
S234,0.65
S235,0.65
S236,0.55
S237,0.75
S238,0.75
S239,0.75
S243,0.55
S244,0.6
S245,0.6
S246,0.55
S247,0.55
S248,0.7
S249,0.7
S250,0.5
S251,0.65
S252,0.55
S253,0.4
S254,0.45
S255,0.75
S256,0.55
S257,0.55
S258,0.6
S259,0.8
S260,0.75
S261,0.75
S262,0.75
S263,0.7
S264,0.7
S265,0.65
S266,0.7
S267,0.4
S268,0.6
S269,0.7
S270,0.6
S271,0.7
S272,0.75
S273,0.7
S274,0.5
S275,0.65
S276,0.55
S277,0.6
S278,0.65
S279,0.6
S280,0.6
S281,0.7
S282,0.7
S283,0.55
S284,0.6
S285,0.6
S286,0.7
S287,0.65
S288,0.55
S289,0.7
S290,0.7
S291,0.6
S292,0.6
S293,0.7
S294,0.7
S295,0.7
S296,0.7
S297,0.65
S298,0.6
S299,0.5
S300,0.8
S301,0.75
S302,0.65
S303,0.55
S304,0.55
S305,0.55
S306,0.55
S307,0.55
S308,0.6
S309,0.75
S315,0.4
S317,0.35
S319,0.6
S320,0.45
S321,0.35
S322,0.7
S323,0.65
S324,0.7
S325,0.55
S326,0.5
S327,0.5
S328,0.65
S329,0.65
S330,0.6
S331,0.55
S332,0.5
S352,0.6
S353,0.65
S354,0.75
S355,0.75
S356,0.6
