mRNA,RF_Classifier_prob
A1,0.5646425331011414
A2,0.6060428105294704
A3,0.5795951813459397
A4,0.28928834437101614
A5,0.7748582005500794
A6,0.7810752868652344
A7,0.7989246010780334
A8,0.7816724300384521
A9,0.6155820459127426
A10,0.7731398463249206
A11,0.787894070148468
A12,0.7952898144721985
A13,0.6252197027206421
A14,0.7496437430381775
A15,0.7684834718704223
A16,0.6002150028944016
A17,0.5979740388691426
A18,0.7853666543960571
A19,0.7901299238204956
A20,0.7856991648674011
A21,0.7998886942863465
A22,0.7999188423156738
A23,0.7984582901000976
A24,0.7969877004623414
A25,0.6720258951187134
A26,0.7664427161216736
A27,0.7996654868125915
A28,0.7983414053916931
A29,0.7985225081443786
A30,0.5766245245933532
A31,0.6999590158462524
A32,0.7998960494995118
A33,0.7991001963615417
A34,0.6286976665258408
A35,0.5851674363017082
A36,0.6161512136459351
A37,0.5124971812590957
A38,0.41986959042260424
A39,0.4435702265240252
A40,0.7957732677459717
A41,0.7250113606452941
A42,0.7314376354217529
A43,0.6457900881767273
A44,0.7860205054283143
A45,0.7994035840034485
A46,0.7937617540359497
A47,0.7992730736732483
A48,0.7999824047088623
A49,0.793629789352417
A50,0.785540509223938
A51,0.79561767578125
A52,0.7474881410598755
A53,0.7981424927711487
A54,0.5130399785935879
A55,0.6066669702529908
A56,0.5601650705561042
A57,0.5689443924464286
A58,0.7791780471801758
A59,0.6034083046019078
A60,0.5795875510200859
A61,0.6113879412412644
A62,0.7954964876174927
A63,0.7940783143043518
A64,0.7718210220336914
A65,0.7993553280830383
A66,0.7978463888168335
A67,0.7995193600654602
A68,0.7208071351051331
A69,0.7999538779258728
A70,0.7998628973960876
A71,0.7990734338760376
A72,0.7998660683631897
A73,0.7995988607406617
A74,0.7774338960647583
A75,0.7978127121925354
A76,0.7220209002494812
A77,0.7817962288856506
A78,0.735121214389801
A79,0.6799072384834289
A80,0.799364960193634
A81,0.6834161102771759
A82,0.7994809865951538
A83,0.7942722797393799
A84,0.6722295820713043
A85,0.7986134767532349
A86,0.7981708765029907
A87,0.7996183872222901
A88,0.799100124835968
A89,0.5774076789180981
A90,0.6415683507919312
A91,0.5614682998042554
A92,0.5939737357199192
A93,0.7991456151008606
A94,0.7969905734062195
A95,0.6799619793891907
A96,0.7996299028396606
A97,0.7996593594551087
A98,0.7949865460395813
A99,0.7966348886489868
A100,0.7943693637847901
A101,0.7648845911026001
A102,0.6205574035644531
A103,0.6650872111320496
A104,0.7690077066421509
A105,0.799439537525177
A106,0.6431322425603867
A107,0.605992815643549
A108,0.7992582082748413
A109,0.7944419145584106
A110,0.7993412852287293
A111,0.7998697996139527
A112,0.7967303395271301
A113,0.5731155872344971
A114,0.7945198655128479
A115,0.7999962329864502
A116,0.799994683265686
A117,0.7802318453788757
A118,0.6308806777000427
A119,0.7967909574508667
A120,0.7997986078262329
A121,0.6809703946113587
A122,0.7163079023361206
A123,0.5815857414156198
A124,0.768261992931366
A125,0.6153914570808411
A126,0.6084371030330658
A127,0.793221914768219
A128,0.7994987487792968
A129,0.7994390845298767
A130,0.7992673635482788
A131,0.7987295031547547
A132,0.7976006865501404
A133,0.7945730566978455
A134,0.7992151737213135
A135,0.7996912360191345
A136,0.7998898983001709
A137,0.799840772151947
A138,0.7999804973602295
A139,0.7989330410957336
A140,0.7823608875274658
A141,0.7829251289367676
A142,0.7355525732040405
A143,0.6963625311851501
A144,0.6832774877548218
A145,0.7995157122612
A146,0.7253731966018677
A147,0.7583161473274231
A148,0.7992256879806519
A149,0.7991023659706116
A150,0.7918639302253723
A151,0.7850173711776733
A152,0.7943175196647644
A153,0.7963831543922424
A154,0.7934004306793213
A155,0.5854082770645619
A156,0.622280190885067
A157,0.5976248927414417
A158,0.5580630630254746
A159,0.7821574091911316
A160,0.7528339266777039
A161,0.5642995277419687
A162,0.7802365899085999
A163,0.7204481601715088
A164,0.7309455394744873
A165,0.7485909223556518
A166,0.7947365164756774
A167,0.7941788673400879
A168,0.7967013120651245
A169,0.7986600756645202
A170,0.7996327519416809
A171,0.7995242714881897
A172,0.7995939135551453
A173,0.7820363521575928
A174,0.7586225628852844
A175,0.7949806928634644
A176,0.7900062680244446
A177,0.7986500978469848
A178,0.797948694229126
A179,0.7992608070373535
A180,0.7973620653152466
A181,0.7979194760322571
A182,0.7982228875160218
A183,0.7940505623817444
A184,0.5965153530240059
A185,0.7946477174758911
A186,0.7662794947624206
A187,0.6228056788444519
A188,0.7563887715339661
A189,0.7082006931304932
A190,0.7423958659172059
A191,0.6772776067256927
A192,0.6140143632888794
A193,0.7956049323081971
A194,0.799456262588501
A195,0.7997233033180237
A196,0.7999660015106201
A197,0.7998415112495423
A198,0.7996025085449219
A199,0.7997590661048889
A200,0.7998849272727966
A201,0.7997499346733093
A202,0.7994670152664185
A203,0.6467345952987671
A204,0.7871255278587341
A205,0.7456710577011109
A206,0.7759463667869568
A207,0.44465380907058716
A208,0.3651157845277339
A209,0.4221965819597244
A210,0.4505505439126864
A211,0.3970123791983724
A212,0.42673888535218224
A213,0.4454219362316508
A214,0.43139105606724115
A215,0.5172216616570949
A216,0.7925567269325257
A217,0.7985162734985352
A218,0.7984528064727783
A219,0.7919328808784485
A220,0.7987906575202942
A221,0.7988833308219909
A222,0.7996740341186523
A223,0.7821680188179017
A224,0.6095089673995971
A225,0.7899317264556884
A226,0.41044330708682536
A227,0.7869065165519714
A228,0.6226959615945816
A229,0.7960778951644898
A230,0.7593573331832886
A231,0.6283349931240082
A232,0.7509120345115662
A233,0.7819678068161011
A234,0.7810951471328735
A235,0.6277960807085037
A236,0.7949730157852173
A237,0.6547761559486389
A238,0.7992218732833862
A239,0.7877416014671326
A240,0.5944919182918966
A241,0.7554627060890198
A242,0.7800269246101379
A243,0.6071841284632683
A244,0.7851664185523987
A245,0.7607949733734131
A246,0.7913254737854004
A247,0.7260058760643006
A248,0.7317079067230224
A249,0.5727503145113587
A250,0.5625510644167662
A251,0.7888549327850342
A252,0.7918222308158874
A253,0.7902736902236939
A254,0.4892761284369044
A255,0.48545367382494076
A256,0.45205362671699734
A257,0.48564733690081996
A258,0.4367522433958584
A259,0.6048002049326897
A260,0.7975712656974793
A261,0.6906766831874848
A262,0.7500099062919616
A263,0.77510666847229
A264,0.7499870300292969
A265,0.5938085317611694
A266,0.5638598226010799
A267,0.7941352248191833
A268,0.7990448832511902
A269,0.7823796033859253
A270,0.6233361840248108
A271,0.49437503450899384
A272,0.5947610251605511
A273,0.5960951095446945
A274,0.5553864687506576
A275,0.5426041125785559
A276,0.6596666812896729
A277,0.7998410105705261
A278,0.7965127229690552
A279,0.7898270606994628
A280,0.5749120265245438
A281,0.7767778635025024
A282,0.799802279472351
A283,0.7993321776390075
A284,0.7999384522438049
A285,0.6225347340106964
A286,0.667455506324768
A287,0.5408556461334229
A288,0.5755058269947767
A289,0.568466570158489
A290,0.6284092247486115
A291,0.6573614954948426
A292,0.7977246880531311
A293,0.7089081764221191
A294,0.6077965646982193
A295,0.6574499905109406
A296,0.7946868419647217
A297,0.7993857502937317
A298,0.7973581433296204
A299,0.7981852173805237
A300,0.7975739479064942
A301,0.7979945182800293
A302,0.7960141777992249
A303,0.7984474301338196
A304,0.599163156747818
A305,0.7598837375640869
A306,0.516620060801506
A307,0.7981409549713134
A308,0.7988807678222656
A309,0.7974587559700013
A310,0.7965920448303223
A311,0.7580571413040161
A312,0.7911724209785461
A313,0.7986306548118591
A314,0.7995952844619751
A315,0.7926324963569641
A316,0.7986766815185546
A317,0.7956249833106994
A318,0.7995896935462952
A319,0.5896985745057464
A320,0.7071826934814454
A321,0.7768541693687439
A322,0.7942611932754516
A323,0.781053340435028
A324,0.7991994261741638
A325,0.799437415599823
A326,0.7997686624526977
A327,0.7976372599601745
A328,0.7995697379112243
A329,0.7936535358428956
A330,0.78197683095932
A331,0.7307222008705139
A332,0.7525797963142395
A333,0.7323395729064941
A334,0.7997649908065796
A335,0.7967755913734436
A336,0.7996020793914795
A337,0.7840593576431274
A338,0.7956792116165161
A339,0.7993820905685425
A340,0.7984320282936096
A341,0.7056360363960266
A342,0.798828411102295
A343,0.7937875390052795
A344,0.7874683856964111
A345,0.5813280536793173
A346,0.7931858539581299
A347,0.7897033572196961
A348,0.7656481146812439
A349,0.5950163748115301
A350,0.7019283890724182
A351,0.7962833404541015
A352,0.7978274464607239
A353,0.7144689917564392
A354,0.7624215960502625
A355,0.7939079880714417
A356,0.7999569416046143
A357,0.7992970943450928
A358,0.7998005151748657
A359,0.7986646056175232
A360,0.773651921749115
A361,0.7988973736763001
A362,0.7996375799179077
A363,0.7999485969543457
A364,0.7997924089431763
A365,0.7995343565940857
A366,0.7989036202430725
A367,0.7855808019638062
A368,0.7997694611549377
A369,0.6896642088890076
A370,0.7992747902870179
A371,0.7994823336601258
A372,0.7999509811401367
A373,0.7820841193199157
A374,0.7147372841835022
A375,0.7325744509696961
A376,0.7773725032806397
A377,0.7962413668632508
A378,0.7601935148239136
A379,0.6580608129501343
A380,0.7991349935531616
A381,0.5314456380787306
A382,0.7873630881309509
A383,0.754219400882721
A384,0.799317729473114
A385,0.7986455917358398
A386,0.7318723559379577
A387,0.5838135674595832
A388,0.798491370677948
A389,0.7992891430854797
A390,0.6374414592981339
A391,0.799171757698059
A392,0.7738759398460389
A393,0.7998950839042663
A394,0.7995282292366028
A395,0.7998963594436646
A396,0.7982120037078857
A397,0.7949219465255737
A398,0.798797881603241
A399,0.7959109425544739
A400,0.6291775166988373
A401,0.5700949434190988
A402,0.7993584752082825
A403,0.7408682823181152
A404,0.7957627415657044
A405,0.7998791575431824
A406,0.7582861304283142
A407,0.7948961973190307
A408,0.7940102458000183
A409,0.6505026042461395
A410,0.7999068140983582
A411,0.6901486217975616
A412,0.6554886519908905
A413,0.7983723282814026
A414,0.5231927141547204
A415,0.6304809629917145
A416,0.7318827271461487
A417,0.7999798059463501
A418,0.7329875111579895
A419,0.48908734796568754
A420,0.7979505062103271
A421,0.7977054595947266
A422,0.7991151332855224
A423,0.7971364617347717
A424,0.7970557570457458
A425,0.7909269571304322
A426,0.5897773504257202
A427,0.4448656185530126
A428,0.7994750738143921
A429,0.7998538613319397
A430,0.7964558482170105
A431,0.7328848481178284
A432,0.6965760350227356
A433,0.7977668642997742
A434,0.799309492111206
A435,0.666460782289505
A436,0.6191235035657883
A437,0.7979794144630432
A438,0.7998720407485962
A439,0.7941768884658813
A440,0.6615426719188691
A441,0.7061554074287415
A442,0.7605311512947083
A443,0.799622118473053
A444,0.7977619051933289
A445,0.7939819455146789
A446,0.7941299796104431
A447,0.799512779712677
A448,0.7992557525634766
A449,0.6880748450756073
A450,0.7998836636543274
A451,0.7937485098838806
A452,0.7913385152816772
A453,0.7985311269760131
A454,0.797385823726654
A455,0.76001136302948
A456,0.7971673011779785
A457,0.7805353999137878
A458,0.7323485851287842
A459,0.7990616202354431
A460,0.7997445225715637
A461,0.7948076486587524
A462,0.7439000844955445
A463,0.7639032483100892
A464,0.7998198866844177
A465,0.7743348121643067
A466,0.7443753004074096
A467,0.6386171668767929
A468,0.6561361789703369
A469,0.7925115942955017
A470,0.7997448563575744
A471,0.7993858337402344
A472,0.799740195274353
A473,0.7939824819564819
A474,0.7452615022659301
A475,0.7790426135063171
A476,0.7971132040023804
A477,0.7896976232528686
A478,0.7997760057449341
A479,0.7987051486968995
A480,0.7729851722717285
A481,0.6070522651076317
A482,0.7954386591911315
A483,0.7948925971984864
A484,0.7959444046020507
A485,0.6970516324043274
A486,0.7950001358985901
A487,0.797738254070282
A488,0.7184404134750366
A489,0.7142659783363342
A490,0.7594941973686218
