siRNA,mRNA,efficacy
virsi1774,AF316321.2,100
virsi1292,AY268070.1,100
virsi1296,AY268070.1,100
virsi1713,NC_001526.4,100
virsi1288,AY278488.2_2,90
virsi1772,DQ201177.1,100
virsi1666,GQ855357.1,98
virsi1290,AY278554.2_1,90
virsi1770,DQ201177.1,97
virsi1701,NC_001357.1,97
virsi1294,AY278554.2_1,91
virsi1295,AY451891.1,97
virsi1700,NC_001357.1,96
virsi1298,AY278554.2_2,98
virsi1917,AF148805.2,95
virsi2196,AF206518.2_4,70
virsi1373,NC_004718.3_2,36
virsi1254,EU262658.1_3,45
virsi1255,EU262658.1_3,76
virsi1776,AF302996.1,91
virsi1743,NC_001357.1,91
virsi1299,AY278554.2_2,96
virsi1381,NC_004718.3_2,29
virsi1510,EF190973.1,90
virsi1389,NC_004718.3_1,28
virsi1393,NC_004718.3_1,29
virsi1897,NC_001798.2,45
virsi2197,AF206518.2_2,90
virsi2198,AF206518.2_5,85
virsi1720,NC_001526.4,90
virsi1303,AY278554.2_2,97
virsi1289,AY278488.2_3,100
virsi2127,GQ183623.1,89
virsi1300,AY451891.1,89
virsi1386,AY278488.2_4,41
virsi1257,EU262658.1_3,41
virsi1955,FJ589068.1,88
virsi1898,NC_001798.2,88
virsi1259,EU262658.1_3,92
virsi1260,EU262658.1_3,76
virsi1390,AY278488.2_4,45
virsi1731,NC_001357.1,85
virsi1767,NC_001526.4,85
virsi2199,AF206518.2_1,90
virsi2200,AF206518.2_7,95
virsi1721,NC_001526.4,85
virsi1262,EU262658.1_2,93
virsi1899,NC_001798.2,52
virsi2207,GQ183623.1,84
virsi1188,M58335.1,84
virsi1704,NC_001526.4,83
virsi1965,FJ790798.1,83
virsi1507,AY278488.2_1,83
virsi1366,AY278554.2_3,83
virsi1368,AY278554.2_1,3
virsi1263,EU262658.1_2,87
virsi2208,GQ183623.1,82
virsi1740,NC_001526.4,82
virsi1900,NC_001798.2,75
virsi1264,EU262658.1_2,89
virsi1952,HQ641713.1,81
virsi1265,EU262658.1_2,85
virsi1730,NC_001357.1,80
virsi1342,AY278491.2_1,60
virsi2206,GQ183624.1,80
virsi1974,HQ641456.1,80
virsi1901,NC_001798.2,55
virsi1980,D17763.1,77
virsi1266,EU262658.1_2,87
virsi1760,NC_001526.4,76
virsi1849,EU910136.1,76
virsi1268,EU262658.1_2,83
virsi1902,NC_001798.2,82
virsi1968,HQ189126.1,75
virsi1702,NC_001357.1,75
virsi2201,AF206518.2_7,85
virsi1997,NC_004718.3_1,26
virsi2177,NC_004102.1,90
virsi1971,HQ189126.1,74
virsi1759,NC_001526.4,74
virsi1273,EU262658.1_1,81
virsi1756,NC_001526.4,73
virsi2178,NC_004102.1,80
virsi1761,NC_001526.4,71
virsi1698,NC_001526.4,70
virsi1697,NC_001526.4,70
virsi1966,FJ790798.1,70
virsi1976,D17763.1,70
virsi2202,AF206518.2_3,30
virsi1736,NC_001526.4,69
virsi1739,NC_001526.4,69
virsi1758,NC_001526.4,68
virsi1737,NC_001526.4,68
virsi1748,NC_001526.4,67
virsi1343,AY278491.2_1,80
virsi1275,EU262658.1_1,81
virsi2179,NC_004102.1,90
virsi1741,NC_001357.1,63
virsi1742,NC_001357.1,63
virsi2180,NC_004102.1,90
virsi1369,AY278554.2_3,54
virsi1979,D17763.1,61
virsi1846,NC_009334.1,64
virsi1447,AY278491.2_2,26
virsi1764,NC_001526.4,60
virsi1750,NC_001526.4,60
virsi1719,NC_001357.1,60
virsi1973,EU781832.1,60
virsi2203,AF206518.2_1,60
virsi2204,AF206518.2_2,60
virsi1297,AY268070.1,60
virsi1848,NC_009334.1,54
virsi1977,D17763.1,58
virsi1757,NC_001526.4,58
virsi1845,NC_009334.1,48
virsi1847,NC_009334.1,7
virsi2158,U57056.1,0
virsi1699,NC_001526.4,55
virsi1023,U95551.1,85
virsi1694,FN907963.1,55
virsi1695,FN907963.1,55
virsi1696,FN907963.1,55
virsi1020,U95551.1,72
virsi1021,U95551.1,59
virsi1022,U95551.1,54
virsi1755,NC_001526.4,54
virsi1370,AY278554.2_3,48
virsi1754,NC_001526.4,53
virsi1722,NC_001526.4,53
virsi1964,GU563562.1,52
virsi1873,V01555,94
virsi1744,NC_001526.4,50
virsi1727,NC_001357.1,50
virsi1992,AY278491.2_2,50
virsi1769,NC_001526.4,50
virsi1871,V01555,90
virsi1371,AY278554.2_3,62
virsi1867,V01555,62
virsi1190,M58335.1,47
virsi1508,AY278488.2_1,89
virsi1276,EU262658.1_1,73
virsi1877,V01555,61
virsi1878,AY961628.3,43
virsi1509,AY278488.2_1,87
virsi1282,EU262658.1_1,65
virsi1869,V01555,48
virsi1978,D17763.1,38
virsi1753,NC_001526.4,37
virsi1874,V01555,41
virsi1752,NC_001526.4,36
virsi1738,NC_001526.4,30
virsi2205,AF206518.2_6,75
virsi1723,NC_001526.4,30
virsi1872,V01555,29
virsi1864,V01555,28
virsi1870,V01555,13
virsi1861,V01555,0
virsi1863,V01555,0
virsi1993,AY278491.2_2,65
virsi1865,V01555,0
virsi1880,AY961628.3,22
virsi1749,NC_001526.4,15
virsi1862,V01555,0
virsi1879,AY961628.3,13
virsi1881,AY961628.3,12
virsi1735,NC_001526.4,11
virsi1876,AY961628.3,6
virsi1372,AY278554.2_3,83
virsi1868,V01555,0
virsi1690,X00203.1,75
virsi1691,X00203.1,58
virsi1692,X00203.1,58
virsi1882,AY961628.3,0
virsi1775,AF316321.2,0
virsi1745,NC_001526.4,0
virsi1746,NC_001526.4,0
virsi1747,NC_001526.4,0
virsi1751,NC_001526.4,0
virsi1732,NC_001526.4,0
virsi1693,X00203.1,58
virsi1157,X04615.1,75
virsi1156,X04615.1,55
virsi1972,AB237837.1,0
virsi1975,GQ285029.1,0
virsi1293,AY268070.1,0
virsi1851,EU910136.1,0
virsi1852,EU910136.1,0
