siRNA,mRNA,efficacy
HIV1001,AF324493_9,87
HIV1004,AF324493_6,96
HIV1005,AF324493_6,95
HIV1006,AF324493_6,95.9
HIV1007,AF324493_9,95.9
HIV1008,AF324493_1,95.9
HIV1009,AF324493_2,95
HIV1010,AF324493_5,97
HIV1017,AF324493_6,64
HIV1020,AF324493_3,68
HIV1022,AF324493_6,94
HIV1030,AF324493_6,93
HIV1036,AF324493_3,100
HIV1042,AF324493_6,85
HIV1052,AF324493_1,0
HIV1053,AF324493_1,0
HIV1054,AF324493_6,34
HIV1055,AF324493_8,58
HIV1056,AF324493_9,47
HIV1057,AF324493_9,44
HIV1058,AF324493_9,69
HIV1059,AF324493_9,76
HIV1060,AF324493_9,49
HIV1061,AF324493_9,63
HIV1062,AF324493_1,48
HIV1072,AF324493_1,52.2
HIV1076,AF324493_2,89
HIV1078,AF324493_2,85
HIV1079,AF324493_3,37
HIV1080,AF324493_5,95
HIV1086,AF324493_7,95
HIV1088,AF324493_7,95
HIV1090,AF324493_9,38
HIV1091,AF324493_5,61
HIV1100,AF324493_9,100
HIV1108,AF324493_5,78
HIV1109,AF324493_9,50
HIV1110,AF324493_1,90
HIV1113,AF324493_1,70
HIV1211,AF324493_9,98
HIV1212,AF324493_2,97
HIV1213,AF324493_6,92
HIV1231,AF324493_1,63.8
HIV1232,AF324493_1,92.8
HIV1233,AF324493_1,95.7
HIV1234,AF324493_1,94.2
HIV1235,AF324493_1,66.7
HIV1236,AF324493_1,95.7
HIV1237,AF324493_1,94.2
HIV1238,AF324493_1,46.4
HIV1239,AF324493_1,36.2
HIV1240,AF324493_1,49.3
HIV1241,AF324493_1,94.2
HIV1242,AF324493_1,97
HIV1243,AF324493_2,100
HIV1244,AF324493_2,85.5
HIV1245,AF324493_3,97.1
HIV1246,AF324493_5,97.1
HIV1248,AF324493_3,92.8
HIV1249,AF324493_3,79.7
HIV1250,AF324493_3,83
HIV1251,AF324493_3,94.2
HIV1252,AF324493_4,88.4
HIV1253,AF324493_4,87
HIV1254,AF324493_4,95.7
HIV1255,AF324493_5,92.8
HIV1256,AF324493_5,92.8
HIV1257,AF324493_5,94.2
HIV1258,AF324493_5,95.7
HIV1259,AF324493_5,94.2
HIV1260,AF324493_5,97.1
HIV1261,AF324493_5,95.7
HIV1263,AF324493_5,76.8
HIV1264,AF324493_5,95.7
HIV1265,AF324493_5,95.7
HIV1266,AF324493_5,97.1
HIV1267,AF324493_5,22
HIV1268,AF324493_5,94.2
HIV1269,AF324493_5,87
HIV1271,AF324493_8,95.7
HIV1376,AF324493_1,62
HIV1377,AF324493_1,46
HIV1378,AF324493_1,77
HIV1379,AF324493_1,91
HIV1380,AF324493_1,92
HIV1381,AF324493_1,95
HIV1382,AF324493_1,83
HIV1383,AF324493_1,83
HIV1389,AF324493_9,78
HIV1391,AF324493_8,63
HIV1392,AF324493_9,38
HIV1394,AF324493_1,4
HIV1399,AF324493_1,85
HIV1423,AF324493_1,51.2
HIV1424,AF324493_1,14.9
HIV1426,AF324493_1,91.5
HIV1428,AF324493_1,99.4
HIV1429,AF324493_1,52.6
HIV1430,AF324493_1,96.1
HIV1431,AF324493_1,67
HIV1432,AF324493_2,54.1
HIV1433,AF324493_2,95.1
HIV1434,AF324493_2,95.9
HIV1435,AF324493_2,94.8
HIV1436,AF324493_2,85.3
HIV1437,AF324493_2,66.4
HIV1438,AF324493_2,48.6
HIV1439,AF324493_2,73.2
HIV1440,AF324493_2,87.9
HIV1441,AF324493_3,99.5
HIV1442,AF324493_3,99.5
HIV1443,AF324493_3,97.3
HIV1444,AF324493_3,99.7
HIV1445,AF324493_3,99.7
HIV1446,AF324493_3,99
HIV1448,AF324493_3,98
HIV1449,AF324493_3,98.3
HIV1450,AF324493_3,11.3
HIV1451,AF324493_3,61.3
HIV1452,AF324493_3,70.8
HIV1453,AF324493_4,81
HIV1454,AF324493_4,97.3
HIV1455,AF324493_4,91.5
HIV1456,AF324493_4,93.5
HIV1457,AF324493_5,95.2
HIV1458,AF324493_5,98
HIV1459,AF324493_5,97.3
HIV1460,AF324493_5,95.7
HIV1461,AF324493_5,95.5
HIV1462,AF324493_5,99.2
HIV1463,AF324493_5,54.2
HIV1464,AF324493_5,84.2
HIV1465,AF324493_5,98.5
HIV1466,AF324493_5,98.5
HIV1467,AF324493_5,98.8
HIV1468,AF324493_5,84.3
HIV1469,AF324493_5,84
HIV1470,AF324493_5,94.3
HIV1471,AF324493_5,96.5
HIV1473,AF324493_6,81.1
HIV1474,AF324493_6,90.3
HIV1475,AF324493_6,90.6
HIV1476,AF324493_6,69.2
HIV1477,AF324493_6,84.4
HIV1478,AF324493_6,93.6
HIV1479,AF324493_6,95.1
HIV1480,AF324493_6,83.5
HIV1481,AF324493_6,73.8
HIV1482,AF324493_6,94.3
HIV1483,AF324493_6,97.7
HIV1484,AF324493_6,94.2
HIV1485,AF324493_6,81.1
HIV1486,AF324493_7,85
HIV1488,AF324493_7,32.6
HIV1489,AF324493_7,91.5
HIV1490,AF324493_7,89.9
HIV1491,AF324493_7,78.6
HIV1492,AF324493_7,86
HIV1493,AF324493_7,92.3
HIV1494,AF324493_7,88.3
HIV1495,AF324493_7,94.2
HIV1496,AF324493_7,91.8
HIV1497,AF324493_7,89.7
HIV1498,AF324493_7,31.8
HIV1499,AF324493_8,89.9
HIV1500,AF324493_8,88.5
HIV1501,AF324493_8,89.3
HIV1502,AF324493_8,78.6
HIV1503,AF324493_8,93.9
HIV1504,AF324493_8,95.7
HIV1505,AF324493_8,93.8
