siRNA,mRNA,efficacy
S139,NM_000189.5_2,0.9
S154,NM_000189.5_2,0.84
S149,NM_000189.5_2,0.83
S130,NM_000189.5_2,0.85
S145,NM_000189.5_2,0.89
S199,NM_000189.5_2,0.84
S102,NM_000189.5_2,0.83
S107,NM_000189.5_2,0.81
S185,NM_000189.5_2,0.43
S126,NM_000189.5_2,0.56
S137,NM_000189.5_2,0.77
S114,NM_000189.5_2,0.71
S146,NM_000189.5_2,0.88
S161,NM_000189.5_2,0.84
S120,NM_000189.5_2,0.86
S159,NM_000189.5_2,0.85
S104,NM_000189.5_2,0.89
S176,NM_000189.5_2,0.85
S118,NM_000189.5_2,0.82
S190,NM_000189.5_2,0.87
S155,NM_000189.5_2,0.88
S148,NM_000189.5_2,0.86
S163,NM_000189.5_2,0.78
S117,NM_000189.5_2,0.85
S188,NM_000189.5_2,0.88
S180,NM_000189.5_2,0.77
S105,NM_000189.5_2,0.88
S100,NM_001530.4_2,0.38
S182,NM_000189.5_2,0.94
S99,NM_001530.4_2,0.9
S98,NM_001530.4_2,0.9
S198,NM_000189.5_2,0.88
S193,NM_000189.5_2,0.94
S175,NM_000189.5_2,0.86
S97,NM_001530.4_2,0.87
S101,NM_000189.5_2,0.51
S96,NM_001530.4_2,0.87
S158,NM_000189.5_2,0.72
S142,NM_000189.5_2,0.89
S95,NM_001530.4_2,0.92
S153,NM_000189.5_2,0.86
S192,NM_000189.5_2,0.85
S94,NM_001530.4_2,0.93
S93,NM_001530.4_2,0.85
S181,NM_000189.5_2,0.89
S92,NM_001530.4_2,0.88
S91,NM_001530.4_2,0.83
S90,NM_001530.4_2,0.58
S89,NM_001530.4_2,0.89
S88,NM_001530.4_2,0.9
S147,NM_000189.5_2,0.88
S87,NM_001530.4_2,0.92
S86,NM_001530.4_2,0.89
S172,NM_000189.5_2,0.83
S85,NM_001530.4_2,0.75
S84,NM_001530.4_2,0.92
S132,NM_000189.5_2,0.76
S187,NM_000189.5_2,0.74
S162,NM_000189.5_2,0.7
S83,NM_001530.4_2,0.6
S125,NM_000189.5_2,0.81
S82,NM_001530.4_2,0.84
S81,NM_001530.4_2,0.93
S330,NM_004456.5,0.84
S112,NM_000189.5_2,0.72
S121,NM_000189.5_2,0.8
S164,NM_000189.5_2,0.72
S177,NM_000189.5_2,0.79
S80,NM_001530.4_2,0.91
S79,NM_001530.4_2,0.91
S108,NM_000189.5_2,0.69
S78,NM_001530.4_2,0.91
S77,NM_001530.4_2,0.88
S76,NM_001530.4_2,0.89
S75,NM_001530.4_2,0.87
S74,NM_001530.4_2,0.8
S183,NM_000189.5_2,0.49
S73,NM_001530.4_2,0.92
S123,NM_000189.5_2,0.84
S72,NM_001530.4_2,0.83
S71,NM_001530.4_2,0.87
S70,NM_001530.4_2,0.86
S129,NM_000189.5_2,0.73
S69,NM_001530.4_2,0.81
S68,NM_001530.4_2,0.89
S67,NM_001530.4_2,0.89
S66,NM_001530.4_2,0.89
S65,NM_001530.4_2,0.52
S144,NM_000189.5_2,0.62
S64,NM_001530.4_2,0.4
S63,NM_001530.4_2,0.84
S329,NM_004456.5,0.79
S138,NM_000189.5_2,0.52
S113,NM_000189.5_2,0.77
S237,NM_001098540.3,0.67
S239,NM_001098540.3,0.08
S62,NM_001530.4_2,0.9
S238,NM_001098540.3,0.43
S208,NM_001098540.3,0.33
S61,NM_001530.4_2,0.81
S328,NM_004456.5,0.69
S178,NM_000189.5_2,0.76
S209,NM_001098540.3,0.95
S60,NM_001530.4_2,0.28
S173,NM_000189.5_2,0.8
S202,NM_001098540.3,0.95
S299,NM_001098540.3,0.93
S203,NM_001098540.3,0.91
S327,NM_004456.5,0.78
