siRNA,mRNA,efficacy
B44,AH001498_3,0.98
B43,AH001498_3,0.52
B42,AH001498_3,0.96
B41,AH001498_3,0.71
B40,AH001498_3,0.83
B39,AH001498_3,0.92
B38,AH001498_2,0.74
B36,AH001498_2,0.97
B35,AH001498_2,0.86
B32,AH001498_2,0.98
B31,AH001498_2,0.79
B30,AH001498_2,0.92
B29,AH001498_2,0.96
B1,AH001498_1,0.83
B10,AH001498_1,0.96
B11,AH001498_1,0.9
B12,AH001498_1,0.96
B13,AH001498_1,0.67
B14,AH001498_1,0.87
B15,AH001498_1,0.96
B16,AH001498_1,0.93
B17,AH001498_1,0.91
B18,AH001498_1,0.98
B19,AH001498_1,0.95
B2,AH001498_1,0.45
B20,AH001498_1,0.96
B21,AH001498_1,0.96
B22,AH001498_1,0.96
B23,AH001498_1,0.98
B24,AH001498_1,0.81
B25,AH001498_1,0.95
B26,AH001498_1,0.97
B28,AH001498_1,0.81
B3,AH001498_1,0.8
B4,AH001498_1,0.88
B5,AH001498_1,0.98
A561,NM_015213_3,0.625
A562,NM_015213_3,0.402
A503,NM_015213_3,0.221
A504,NM_015213_3,0.637
A563,NM_015213_3,0.497
A564,NM_015213_3,0.709
A505,NM_015213_3,0.663
A506,NM_015213_3,0.607
B6,AH001498_1,0.84
A507,NM_015213_3,0.787
A565,NM_015213_3,0.605
A566,NM_015213_3,0.618
A567,NM_015213_3,0.63
A568,NM_015213_3,0.744
A508,NM_015213_3,0.426
A569,NM_015213_3,0.666
A570,NM_015213_3,0.544
B371,U92436_2,0.4
B370,U92436_2,0.3
A509,NM_015213_3,0.719
A571,NM_015213_3,0.695
A510,NM_015213_3,0.882
A511,NM_015213_3,0.419
B369,U92436_2,0.39
B411,J03132_2,0.48
A512,NM_015213_3,0.705
B410,J03132_2,0.41
A572,NM_015213_3,0.578
B368,U92436_2,0.37
A513,NM_015213_3,0.547
B409,J03132_2,0.45
B7,AH001498_1,0.82
B367,U92436_2,0.06
B366,U92436_2,0.3
A514,NM_015213_3,0.768
A573,NM_015213_3,0.527
A515,NM_015213_3,0.474
A574,NM_015213_3,0.631
B408,J03132_2,0.07
B8,AH001498_1,0.95
B365,U92436_2,0.32
B9,AH001498_1,0.95
B407,J03132_2,0.05
B364,U92436_2,0.25
A516,NM_015213_3,0.444
A575,NM_015213_3,0.467
A517,NM_015213_3,0.606
B406,J03132_2,0.33
B363,U92436_2,0.38
A576,NM_015213_3,0.644
A577,NM_015213_3,0.291
A578,NM_015213_3,0.67
B405,J03132_2,0.34
A579,NM_015213_3,0.625
B362,U92436_2,0.45
A518,NM_015213_3,0.419
A519,NM_015213_3,0.611
A580,NM_015213_3,0.441
B361,U92436_2,0.4
A581,NM_015213_3,0.658
B404,J03132_2,0.28
A582,NM_015213_3,0.471
A583,NM_015213_3,0.485
B403,J03132_2,0
B360,U92436_2,0.58
A584,NM_015213_3,0.693
A520,NM_015213_3,0.777
B402,J03132_2,0.07
B359,U92436_2,0.15
A358,XM_371822_2,0.857
A434,XM_371822_2,0.617
A359,XM_371822_2,0.591
A435,XM_371822_2,0.127
A521,NM_015213_3,0.409
A436,XM_371822_2,0.397
A437,XM_371822_2,0.53
A360,XM_371822_2,0.538
B401,J03132_2,0.4
B400,J03132_2,0.24
A522,NM_015213_3,0.807
B399,J03132_2,0.29
A585,NM_015213_3,0.345
A361,XM_371822_2,0.43
B358,U92436_2,0.44
A438,XM_371822_2,0.52
A362,XM_371822_2,0.363
A586,NM_015213_3,0.514
A363,XM_371822_2,0.433
A364,XM_371822_2,0.295
B398,J03132_2,0.63
A365,XM_371822_2,0.618
A439,XM_371822_2,0.462
A440,XM_371822_2,0.402
A441,XM_371822_2,0.505
A366,XM_371822_2,0.82
B357,U92436_2,0
B397,J03132_2,0.43
A523,NM_015213_2,0.737
A587,NM_015213_2,0.479
A367,XM_371822_2,0.754
A442,XM_371822_2,0.738
B372,J03132_1,0
B288,U47296,0.977
A368,XM_371822_2,0.817
A443,XM_371822_2,0.513
A524,NM_015213_2,0.705
B373,J03132_1,0.01
A369,XM_371822_2,0.55
A370,XM_371822_2,0.683
A525,NM_015213_2,0.459
B140,U47298,0.782
B164,U47298,0.387
B110,U47298,0.926
B415,U47298,0.921
B112,U47298,0.917
B125,U47298,0.884
B131,U47298,0.868
A444,XM_371822_2,0.67
B148,U47298,0.681
B97,U47298,0.951
B127,U47298,0.876
B94,U47298,0.959
B414,U47298,0.911
B116,U47298,0.902
B101,U47298,0.946
B109,U47298,0.927
B99,U47298,0.949
B93,U47298,0.959
B102,U47298,0.943
B356,U92436_1,0.7
B153,U47298,0.61
B118,U47298,0.901
B146,U47298,0.711
B98,U47298,0.95
B100,U47298,0.947
A371,XM_371822_2,0.667
B137,U47298,0.804
A372,XM_371822_2,0.797
B151,U47298,0.643
B107,U47298,0.931
A373,XM_371822_2,0.579
B119,U47298,0.897
B147,U47298,0.703
B141,U47298,0.778
B165,U47298,0.359
B115,U47298,0.908
B117,U47298,0.901
B96,U47298,0.953
B128,U47298,0.875
B105,U47298,0.932
A445,XM_371822_2,0
B375,J03132_1,0.07
B111,U47298,0.923
A446,XM_371822_2,0.397
B130,U47298,0.868
B169,U47298,0.249
B104,U47298,0.936
A526,NM_015213_2,0.547
B95,U47298,0.955
B163,U47298,0.388
B139,U47298,0.786
B167,U47298,0.321
B168,U47298,0.299
A527,NM_015213_2,0.49
B132,U47298,0.855
B142,U47298,0.766
B355,U92436_1,0.3
B124,U47298,0.885
A374,XM_371822_2,0.532
B123,U47298,0.885
B150,U47298,0.661
B138,U47298,0.795
A588,NM_015213_2,0.557
B159,U47298,0.449
B133,U47298,0.841
B376,J03132_1,0.18
A447,XM_371822_2,0.494
B108,U47298,0.929
A448,XM_371822_2,0.463
B92,U47298,0.96
B103,U47298,0.936
B129,U47298,0.871
A449,XM_371822_2,0.576
B160,U47298,0.442
B149,U47298,0.67
B134,U47298,0.828
B157,U47298,0.474
B114,U47298,0.912
B113,U47298,0.913
B154,U47298,0.588
B122,U47298,0.888
B156,U47298,0.476
B136,U47298,0.807
B106,U47298,0.931
B144,U47298,0.739
B126,U47298,0.876
B145,U47298,0.738
B162,U47298,0.392
B170,U47298,0.203
B155,U47298,0.522
A375,XM_371822_2,0.65
B121,U47298,0.892
B135,U47298,0.825
A376,XM_371822_2,0.652
B166,U47298,0.326
B120,U47298,0.893
B143,U47298,0.748
B172,U47298,0.138
B81,U47298,0.513
B413,U47298,0.608
B80,U47298,0.423
B161,U47298,0.438
B158,U47298,0.472
B171,U47298,0.184
A450,XM_371822_2,0.564
B152,U47298,0.633
B79,U47298,0.145
B378,J03132_1,0.45
A528,NM_015213_2,0.978
B354,U92436_1,0.09
A529,NM_015213_2,0.753
A530,NM_015213_2,0.719
A377,XM_371822_2,0.75
A378,XM_371822_2,0.824
A589,NM_015213_2,0.646
B379,J03132_1,0.1
A531,NM_015213_2,0.532
B380,J03132_1,0.21
A451,XM_371822_2,0.73
B381,J03132_1,0.3
A452,XM_371822_2,0.589
A453,XM_371822_2,0.602
B383,J03132_1,0.1
A379,XM_371822_2,0.759
A590,NM_015213_2,0.46
A532,NM_015213_2,0.679
A533,NM_015213_2,0.492
A380,XM_371822_1,0.609
B294,U47296,0.347
B296,U47296,0.919
B78,U47298,0.956
A381,XM_371822_1,0.724
A534,NM_015213_2,0.518
A382,XM_371822_1,0.568
A591,NM_015213_2,0.449
A383,XM_371822_1,0.729
A384,XM_371822_1,0.49
A385,XM_371822_1,0.719
B353,U92436_1,0.73
A386,XM_371822_1,0.711
A592,NM_015213_2,0.385
A387,XM_371822_1,0.627
A593,NM_015213_2,0.424
B77,U47298,0.974
A388,XM_371822_1,0.836
B311,X75932,0.571
B352,U92436_1,0.75
B384,J03132_1,0.58
A389,XM_371822_1,0.991
A390,XM_371822_1,0.651
A594,NM_015213_2,0.747
A391,XM_371822_1,0.561
A392,XM_371822_1,0.792
B293,U47296,0.897
B315,X75932,0.725
A393,XM_371822_1,0.595
B292,U47296,0.099
B286,NM_031313,0.165
B291,U47296,0.416
A535,NM_015213_2,0.447
A394,XM_371822_1,0.774
B76,U47298,0.968
A395,XM_371822_1,0.702
A396,XM_371822_1,0.68
A397,XM_371822_1,0.558
