mRNA,siRNA,Efficacy
NM_002046,NM_0020461,0.971
NM_002046,NM_0020462,0.97
NM_002046,NM_0020463,0.957
NM_002046,NM_0020464,0.851
NM_002046,NM_0020465,0.85
NM_002046,NM_0020466,0.848
NM_002046,NM_0020467,0.775
NM_002046,NM_0020468,0.774
NM_002046,NM_0020469,0.772
NM_002046,NM_00204610,0.691
NM_002046,NM_00204611,0.689
NM_002046,NM_00204612,0.348
NM_002046,NM_00204613,0.338
NM_002046,NM_00204614,0.325
NM_002046,NM_00204615,0.304
NM_002046,NM_00204616,0.229
NM_002046,NM_00204617,0.222
NM_002559,NM_0025591,0.36
NM_002559,NM_0025592,0.352
NM_002559,NM_0025593,0.348
NM_002559,NM_0025594,0.347
NM_002559,NM_0025595,0.344
NM_002559,NM_0025596,0.342
NM_002559,NM_0025597,0.339
NM_002559,NM_0025598,0.336
NM_002559,NM_0025599,0.333
NM_002559,NM_00255910,0.33
NM_002559,NM_00255911,0.326
NM_002559,NM_00255912,0.314
NM_002559,NM_00255913,0.307
NM_002559,NM_00255914,0.306
NM_002559,NM_00255915,0.289
NM_002559,NM_00255916,0.235
NM_002559,NM_00255917,0.227
NM_002559,NM_00255918,0.399
NM_002559,NM_00255919,0.394
NM_002559,NM_00255920,0.39
NM_002559,NM_00255921,0.384
NM_002559,NM_00255922,0.383
NM_002559,NM_00255923,0.377
NM_002559,NM_00255924,0.37
NM_002559,NM_00255925,0.439
NM_002559,NM_00255926,0.435
NM_002559,NM_00255927,0.46
NM_002559,NM_00255928,0.458
NM_002559,NM_00255929,0.457
NM_002559,NM_00255930,0.456
NM_002559,NM_00255931,0.456
NM_002559,NM_00255932,0.455
NM_002559,NM_00255933,0.454
NM_002559,NM_00255934,0.48
NM_002559,NM_00255935,0.478
NM_002559,NM_00255936,0.477
NM_002559,NM_00255937,0.476
NM_002559,NM_00255938,0.476
NM_002559,NM_00255939,0.475
NM_002559,NM_00255940,0.493
NM_002559,NM_00255941,0.492
NM_002559,NM_00255942,0.491
NM_002559,NM_00255943,0.503
NM_002559,NM_00255944,0.502
NM_002559,NM_00255945,0.502
NM_002559,NM_00255946,0.502
NM_002559,NM_00255947,0.5
NM_002559,NM_00255948,0.527
NM_002559,NM_00255949,0.526
NM_002559,NM_00255950,0.526
NM_002559,NM_00255951,0.525
NM_002559,NM_00255952,0.525
NM_002559,NM_00255953,0.525
NM_002559,NM_00255954,0.544
NM_002559,NM_00255955,0.543
NM_002559,NM_00255956,0.542
NM_002559,NM_00255957,0.541
NM_002559,NM_00255958,0.541
NM_002559,NM_00255959,0.54
NM_002559,NM_00255960,0.562
NM_002559,NM_00255961,0.561
NM_002559,NM_00255962,0.56
NM_002559,NM_00255963,0.559
NM_002559,NM_00255964,0.695
NM_002559,NM_00255965,0.695
NM_002559,NM_00255966,0.694
NM_002559,NM_00255967,0.694
NM_002559,NM_00255968,0.693
NM_002559,NM_00255969,0.801
NM_002559,NM_00255970,0.8
