mRNA,RF_Classifier_prob
BD135193,0.599627791531384
NM_004359,0.6211773455142975
NM_003340,0.6002235748339444
NM_003337,0.6005082128103822
NM_003969,0.766293215751648
XM_371822,0.6038535211235285
AY044845,0.6062223263084888
NM_015213,0.600726077798754
NM_003347,0.5999049682635814
NM_003344,0.6079062789678573
NM_003345,0.6016694346442819
NM_014501,0.6623727738857269
NM_004223,0.6010631014592945
NM_016406,0.600817482266575
NM_014176,0.6129325702786446
NM_001001481,0.5998894021613523
NM_016021,0.6005564511753618
NM_005339,0.5997653013488161
NM_053656,0.6054016258567572
NM_003348,0.6080387368798256
NM_003342,0.6009857408702374
NM_006357,0.6030369441956281
NM_021988,0.6013492800295352
NM_022005,0.6078612446784973
NM_130419,0.5997186185559258
XM_214061,0.59961276659742
NM_080692,0.6179798945784569
NM_017346,0.6145851865410805
NM_012864,0.5993756013689563
NM_025237,0.6771232903003692
NM_005450,0.6033008668571711
NM_007019,0.6163271456956864
NM_002559,0.5999847384286113
AH001498,0.6191773831844329
U47298,0.5994899311102927
NM_001632,0.602251672372222
M60857,0.5997527503408492
NM_031313,0.609560027718544
U47296,0.5991224396391772
NM_020548,0.5979735902743414
X75932,0.601135060749948
NM_002046,0.6849251329898834
U92436,0.5997260266100056
J03132,0.6043033372610808
