siRNA,RF_Classifier_prob
A1,0.75
A2,0.65
A3,0.7
A4,0.8
A5,0.65
A6,0.55
A7,0.6
A8,0.6
A9,0.65
A10,0.65
A11,0.6
A12,0.6
A13,0.6
A14,0.6
A15,0.7
A16,0.6
A17,0.75
A18,0.75
A19,0.8
A20,0.6
A21,0.6
A22,0.6
A23,0.6
A24,0.55
A25,0.65
A26,0.55
A27,0.55
A28,0.5
A29,0.55
A30,0.7
A31,0.7
A32,0.6
A33,0.6
A34,0.65
A35,0.6
A36,0.65
A37,0.75
A38,0.7
A39,0.65
A40,0.65
A41,0.65
A42,0.65
A43,0.65
A44,0.65
A45,0.6
A46,0.6
A47,0.6
A48,0.45
A49,0.4
A50,0.6
A51,0.6
A52,0.8
A53,0.8
A54,0.55
A55,0.75
A56,0.75
A57,0.45
A58,0.6
A59,0.65
A60,0.65
A61,0.65
A62,0.45
A63,0.5
A64,0.5
A65,0.7
A66,0.7
A67,0.7
A68,0.6
A69,0.75
A70,0.8
A71,0.8
A72,0.45
A73,0.4
A74,0.3
A75,0.55
A76,0.55
A77,0.55
A78,0.5
A79,0.55
A80,0.6
A81,0.6
A82,0.65
A83,0.6
A84,0.65
A85,0.75
A86,0.7
A87,0.7
A88,0.55
A89,0.7
A90,0.5
A91,0.55
A92,0.55
A93,0.7
A94,0.75
A95,0.8
A96,0.65
A97,0.65
A98,0.7
A99,0.7
A100,0.7
A101,0.55
A102,0.55
A103,0.55
A104,0.55
A105,0.35
A106,0.45
A107,0.5
A108,0.7
A109,0.7
A110,0.7
A111,0.8
A112,0.65
A113,0.65
A114,0.65
A115,0.6
A116,0.6
A117,0.7
A118,0.7
A119,0.75
A120,0.7
A121,0.7
A122,0.6
A123,0.4
A124,0.45
A125,0.75
A126,0.75
A127,0.5
A128,0.45
A129,0.45
A130,0.65
A131,0.65
A132,0.7
A133,0.7
A134,0.7
A135,0.65
A136,0.65
A137,0.65
A138,0.6
A139,0.55
A140,0.6
A141,0.6
A142,0.6
A143,0.65
A144,0.6
A145,0.7
A146,0.7
A147,0.7
A148,0.5
A149,0.55
A150,0.7
A151,0.7
A152,0.65
A153,0.65
A154,0.6
A155,0.6
A156,0.65
A157,0.7
A158,0.7
A159,0.7
A160,0.7
A161,0.7
A162,0.7
A163,0.75
A164,0.8
A165,0.8
A166,0.75
A167,0.7
A168,0.65
A169,0.65
A170,0.7
A171,0.8
A172,0.75
A173,0.65
A174,0.65
A175,0.65
A176,0.65
A177,0.6
A178,0.55
A179,0.65
A180,0.6
A181,0.6
A182,0.6
A183,0.65
A184,0.65
A185,0.55
A186,0.5
A187,0.55
A188,0.6
A189,0.6
A190,0.55
A191,0.55
A192,0.55
A193,0.6
A194,0.6
A195,0.5
A196,0.6
A197,0.6
A198,0.75
A199,0.7
A200,0.7
A201,0.7
A202,0.7
A203,0.6
A204,0.5
A205,0.45
A206,0.45
A207,0.4
A208,0.55
A209,0.6
A210,0.6
A211,0.55
A212,0.65
A213,0.65
A214,0.65
A215,0.6
A216,0.55
A217,0.55
A218,0.55
A219,0.55
A220,0.55
A221,0.5
A222,0.6
A223,0.7
A224,0.7
A225,0.6
A226,0.6
A227,0.65
A228,0.65
A229,0.6
A230,0.65
A231,0.65
A232,0.6
A233,0.5
A234,0.65
A235,0.7
A236,0.65
A237,0.7
A238,0.7
A239,0.7
A240,0.7
A241,0.7
A242,0.65
A243,0.65
A244,0.65
A245,0.6
A246,0.55
A247,0.6
A248,0.5
A249,0.65
A250,0.65
A251,0.65
A252,0.55
A253,0.7
A254,0.7
A255,0.7
A256,0.65
A257,0.65
A258,0.65
A259,0.6
A260,0.65
A261,0.65
A262,0.65
A263,0.6
A264,0.65
A265,0.65
A266,0.65
A267,0.65
A268,0.65
A269,0.6
A270,0.6
A271,0.7
A272,0.8
A273,0.75
A274,0.75
A275,0.75
A276,0.65
A277,0.65
A278,0.6
A279,0.55
A280,0.7
A281,0.55
A282,0.65
A283,0.65
A284,0.7
A285,0.5
A286,0.6
A287,0.6
A288,0.6
A289,0.6
A290,0.5
