mRNA,RF_Classifier_prob
BD135193,0.599627791531384
NM_004359,0.6211773455142975
NM_003340,0.6002235748339444
NM_003337,0.6005082128103822
NM_003969,0.766293215751648
XM_371822,0.6038535211235285
AY044845,0.6062223263084888
NM_015213,0.600726077798754
NM_003347,0.5999049682635814
NM_003344,0.6079062789678573
NM_003345,0.6016694346442819
NM_014501,0.6623727738857269
NM_004223,0.6010631014592945
NM_016406,0.600817482266575
NM_014176,0.6129325702786446
NM_001001481,0.5998894021613523
NM_016021,0.6005564511753618
NM_005339,0.5997653013488161
NM_053656,0.6054016258567572
NM_003348,0.6080387368798256
NM_003342,0.6009857408702374
NM_006357,0.6030369441956281
NM_021988,0.6013492800295352
NM_022005,0.6078612446784973
NM_130419,0.5997186185559258
XM_214061,0.59961276659742
NM_080692,0.6179798945784569
NM_017346,0.6145851865410805
NM_012864,0.5993756013689563
NM_025237,0.6771232903003692
NM_005450,0.6033008668571711
NM_007019,0.6163271456956864
NM_002559,0.5999847384286113
AH001498,0.6191773831844329
U47298,0.5994899311102927
NM_001632,0.602251672372222
M60857,0.5997527503408492
NM_031313,0.609560027718544
U47296,0.5991224396391772
NM_020548,0.5979735902743414
X75932,0.601135060749948
NM_002046,0.6849251329898834
U92436,0.5997260266100056
J03132,0.6043033372610808
EGFP,0.7997865080833435
AB023804_1,0.6006373117677868
AB023804_2,0.629006227850914
AB023804_3,0.6026567107066512
AB023804_4,0.5990150401194114
AB052995_1,0.5998287024151068
AB052995_2,0.6085167214274406
AB052995_3,0.6056518025696278
AB052995_4,0.615373857319355
AB052995_5,0.6045966770499944
AB052995_6,0.6000343716703356
M17451_1,0.6030312091112137
M17451_2,0.6141593545675278
M17451_3,0.6010015924461186
M17451_4,0.5995427188230679
K03455_1,0.6075483225286007
K03455_2,0.6800048172473907
K03455_3,0.6150840878486633
K03455_4,0.6000377537682653
K03455_5,0.5989377433783375
EU541617_1,0.6000487916171551
EU541617_2,0.6296265572309494
EU541617_3,0.6061526581645011
EU541617_4,0.6000013969838619
K02013_1,0.6028741851449013
K02013_2,0.62210543602705
K02013_3,0.6017793586477638
K02013_4,0.6070933200418949
K02013_5,0.5979223714351974
K02013_6,0.6003832140937447
AF324493_1,0.6036487102508545
AF324493_2,0.644212719798088
AF324493_3,0.5991846371907741
AF324493_4,0.6316910207271575
AF324493_5,0.6041278883814811
AF324493_6,0.6003180036321283
AF324493_7,0.6057013094425201
AF324493_8,0.6026636647060514
AF324493_9,0.6008127133361996
AB237837.1,0.597416358673945
AF148805.2,0.5997136408463121
AF206518.2_1,0.599996745144017
AF206518.2_2,0.5993906380434055
AF206518.2_3,0.599426357052289
AF206518.2_4,0.5998844465706498
AF206518.2_5,0.5996581128536491
AF206518.2_6,0.5998500141315162
AF206518.2_7,0.6083845973014832
AF302996.1,0.601567062549293
AF316321.2,0.6032225795090198
AY268070.1,0.5997637604596093
AY278488.2_1,0.597770163504174
AY278488.2_2,0.5995710547897033
AY278488.2_3,0.5997535816393793
AY278488.2_4,0.5993235960137099
AY278491.2_1,0.59957317749504
AY278491.2_2,0.5988534738658927
AY278554.2_1,0.5996634862618521
AY278554.2_2,0.5998936845222488
AY278554.2_3,0.6029982589185238
AY451891.1,0.5994014146504923
AY961628.3,0.6114479914307595
D17763.1,0.6000330133363605
DQ201177.1,0.6104923650622368
EF190973.1,0.6037616182118655
EU262658.1_1,0.6007992914877832
EU262658.1_2,0.5974314966821112
EU262658.1_3,0.6304991960525512
EU781832.1,0.5994843455031514
EU910136.1,0.6038647878915071
FJ589068.1,0.5990742455003784
FJ790798.1,0.6004661977291107
FN907963.1,0.5998552977805958
GQ183623.1,0.6109921522438526
GQ183624.1,0.6027464468032122
GQ285029.1,0.6058920666575431
GQ855357.1,0.7893604397773742
GU563562.1,0.5984601647825911
HQ189126.1,0.6079555384814739
HQ641456.1,0.6014267429709435
HQ641713.1,0.5997003953903913
M58335.1,0.603859743848443
NC_001357.1,0.5998315549571999
NC_001526.4,0.600228932639584
X00203.1,0.59968602286026
V01555,0.7914965510368347
U95551.1,0.6052713397890329
U57056.1,0.6011820240877569
NC_009334.1,0.6006270369514823
NC_004718.3_1,0.5992591623682528
NC_004718.3_2,0.6029998406767845
NC_004102.1,0.6040409617125988
NC_001798.2_1,0.5976944727590308
NC_001798.2_2,0.5988878919859417
NC_001798.2_3,0.5976287204772234
